DATABASE,TABLE,COLUMN,DATA_TYPE,NULLABLE,CONSTRAINT_TYPE,REFERENCE_TABLE_NAME,REFERENCE_COLUMN_NAME
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVER,PSCITIZENKIDDISCOVERLASTNAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,IS_TRANSFERRED,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,REF_KEY,BIGINT,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,LOAD_ID,VARCHAR(60) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,PNCITIZENKIDDISCOVERPARENTPLACECODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,PSCITIZENKIDDISCOVERPARENTPLACENAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,BATCH_ID,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,MODIFIACTION_TYPE,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCITIZENKIDDISCOVERPARENTPLACE,DATA_EXTRACTION_DATE,TIMESTAMP(6),N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,DATA_EXTRACTION_DATE,TIMESTAMP(6),N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,IS_TRANSFERRED,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,BATCH_ID,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,REF_KEY,BIGINT,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PNCOUNTRYCODE,INTEGER,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYNAMEEN,VARCHAR(50) CHARACTER SET UNICODE,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYNAME,VARCHAR(50) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,MODIFIACTION_TYPE,VARCHAR(4) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,LOAD_ID,VARCHAR(60) CHARACTER SET UNICODE,N, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSNOTHASNATIONAL,INTEGER,Y, , , 
STG_ONLINE,ALTERNATIVE_FAMILY_PCOUNTRY,PSCOUNTRYISO,VARCHAR(5) CHARACTER SET UNICODE,Y, , , 
